Curriculo Entrada;Periodo de Ingresso;Ingressantes;Evadidos;Taxa
1999;20111;79;11;13,92
1999;20112;87;10;11,49
1999;20121;88;16;18,18
1999;20122;86;12;13,95
1999;20131;81;8;9,88
1999;20132;93;28;30,11
1999;20141;83;13;15,66
1999;20142;75;12;16,00
1999;20151;94;18;19,15
1999;20152;88;13;14,77
2017;20181;93;3;3,23
2017;20182;88;6;6,82
2017;20191;95;8;8,42
2017;20192;102;3;2,94
2017;20201;99;8;8,08
2017;20202;87;5;5,75
2017;20211;90;6;6,67
2017;20212;90;7;7,78
2017;20221;87;5;5,75
2017;20222;87;10;11,49
