Currículo Entrada,Período de Ingresso,Ingressantes,Evadidos,Taxa
1999,2011.1,79,2,2.53
1999,2011.2,87,15,17.24
1999,2012.1,88,8,9.09
1999,2012.2,86,4,4.65
1999,2013.1,81,5,6.17
1999,2013.2,93,6,6.45
1999,2014.1,83,8,9.64
1999,2014.2,75,14,18.67
1999,2015.1,94,4,4.26
1999,2015.2,88,4,4.55
2017,2018.1,93,5,5.38
2017,2018.2,88,4,4.55
2017,2019.1,95,3,3.16
2017,2019.2,102,4,3.92
2017,2020.1,99,4,4.04
2017,2020.2,87,0,0
2017,2021.1,90,2,2.22
2017,2021.2,90,9,10
2017,2022.1,87,5,5.75
2017,2022.2,87,1,1.15
