Curriculo,Tipo_Evasao,Estudantes,Percentual
1999,CANCELADO 3 REPROV MESMA DISCIPLINA,148,28.5
1999,CANCELADO NOVO INGRESSO OUTRO CURSO,17,3.3
1999,CANCELADO REPROVOU TODAS POR FALTAS,119,22.9
1999,CANCELAMENTO DE MATRICULA,2,0.4
1999,CANCELAMENTO P SOLICITACAO ALUNO,77,14.8
1999,CANCELAMENTO POR ABANDONO,157,30.2
2017,CANCELADO 3 REPROV MESMA DISCIPLINA,37,14
2017,CANCELADO NOVO INGRESSO OUTRO CURSO,6,2.3
2017,CANCELADO REPROVOU TODAS POR FALTAS,36,13.6
2017,CANCELAMENTO DE MATRICULA,2,0.8
2017,CANCELAMENTO P SOLICITACAO ALUNO,41,15.5
2017,CANCELAMENTO POR ABANDONO,141,53.4
2017,TRANSFERIDO PARA OUTRA IES,1,0.4
